"id","original_title","budget","popularity","release_date","revenue","title","vote_average","vote_count","overview","tagline","uid","director_id"
"43597","Avatar","237000000","150","2009-12-10","-1507002209","Avatar","7.2","11800","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Enter the World of Pandora.","19995","4762"
"43598","Pirates of the Caribbean: At World's End","300000000","139","2007-05-19","961000000","Pirates of the Caribbean: At World's End","6.9","4500","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.","285","4763"
"43599","Spectre","245000000","107","2015-10-26","880674609","Spectre","6.3","4466","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","A Plan No One Escapes","206647","4764"
"43600","The Dark Knight Rises","250000000","112","2012-07-16","1084939099","The Dark Knight Rises","7.6","9106","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","The Legend Ends","49026","4765"
"43601","John Carter","260000000","43","2012-03-07","284139100","John Carter","6.1","2124","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.","49529","4766"
"43602","Spider-Man 3","258000000","115","2007-05-01","890871626","Spider-Man 3","5.9","3576","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","The battle within.","559","4767"
"43603","Tangled","260000000","48","2010-11-24","591794936","Tangled","7.4","3330","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","They're taking adventure to new lengths.","38757","4768"
"43604","Avengers: Age of Ultron","280000000","134","2015-04-22","1405403694","Avengers: Age of Ultron","7.3","6767","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","A New Age Has Come.","99861","4769"
"43605","Harry Potter and the Half-Blood Prince","250000000","98","2009-07-07","933959197","Harry Potter and the Half-Blood Prince","7.4","5293","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","Dark Secrets Revealed","767","4770"
"43606","Batman v Superman: Dawn of Justice","250000000","155","2016-03-23","873260194","Batman v Superman: Dawn of Justice","5.7","7004","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","Justice or revenge","209112","4771"
"43607","Superman Returns","270000000","57","2006-06-28","391081192","Superman Returns","5.4","1400","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","","1452","4772"
"43608","Quantum of Solace","200000000","107","2008-10-30","586090727","Quantum of Solace","6.1","2965","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","For love, for hate, for justice, for revenge.","10764","4773"
"43609","Pirates of the Caribbean: Dead Man's Chest","200000000","145","2006-06-20","1065659812","Pirates of the Caribbean: Dead Man's Chest","7.0","5246","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","Jack is back!","58","4763"
"43610","The Lone Ranger","255000000","49","2013-07-03","89289910","The Lone Ranger","5.9","2311","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","Never Take Off the Mask","57201","4763"
"43611","Man of Steel","225000000","99","2013-06-12","662845518","Man of Steel","6.5","6359","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","You will believe that a man can fly.","49521","4771"
"43612","The Chronicles of Narnia: Prince Caspian","225000000","53","2008-05-15","419651413","The Chronicles of Narnia: Prince Caspian","6.3","1630","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","Hope has a new face.","2454","4774"
"43613","The Avengers","220000000","144","2012-04-25","1519557910","The Avengers","7.4","11776","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Some assembly required.","24428","4769"
"43614","Pirates of the Caribbean: On Stranger Tides","380000000","135","2011-05-14","1045713802","Pirates of the Caribbean: On Stranger Tides","6.4","4948","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","Live Forever Or Die Trying.","1865","4775"
"43615","Men in Black 3","225000000","52","2012-05-23","624026776","Men in Black 3","6.2","4160","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","They are back... in time.","41154","4776"
